"bahasa","daerah"
"http://id.dbpedia.org/resource/Bahasa_Devayan","http://id.dbpedia.org/resource/Sumatera"
"http://id.dbpedia.org/resource/Bahasa_Devayan","http://id.dbpedia.org/resource/Simeulue"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Tomini-Tolitoli","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Tomini-Tolitoli","http://id.dbpedia.org/resource/Indonesia"
"http://id.dbpedia.org/resource/Bahasa_Tukang_Besi","http://id.dbpedia.org/resource/Sulawesi_Tenggara"
"http://id.dbpedia.org/resource/Bahasa_Tukang_Besi","http://id.dbpedia.org/resource/Kepulauan_Tukang_Besi"
"http://id.dbpedia.org/resource/Bahasa_Wolio","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Wotu-Wolio","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Wotu-Wolio","http://id.dbpedia.org/resource/Indonesia"
"http://id.dbpedia.org/resource/Bahasa_Batak_Alas-Kluet","Timurlaut Tapaktuan dan sekitar Kutacane"
"http://id.dbpedia.org/resource/Bahasa_Tengger","http://id.dbpedia.org/resource/Jawa_Timur"
"http://id.dbpedia.org/resource/Bahasa_Batak_Karo","Dataran Tinggi Karo"
"http://id.dbpedia.org/resource/Bahasa_Kanayatn","Kalimantan Barat, juga di Malaysia"
"http://id.dbpedia.org/resource/Bahasa_Melayu_Makassar","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Bahasa_Talaud","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Bahasa_Sumbawa","bagian barat pulau Sumbawa"
"http://id.dbpedia.org/resource/Bahasa_Mongondow","http://id.dbpedia.org/resource/Sulawesi_Utara"
"http://id.dbpedia.org/resource/Bahasa_Melayu_Kutai_Tenggarong","http://id.dbpedia.org/resource/Kalimantan_Timur"
"http://id.dbpedia.org/resource/Bahasa_Bangka","http://id.dbpedia.org/resource/Pulau_Bangka"
"http://id.dbpedia.org/resource/Bahasa_Simalungun","http://id.dbpedia.org/resource/Sumatera_Utara"
"http://id.dbpedia.org/resource/Bahasa_Simalungun","http://id.dbpedia.org/resource/Kabupaten_Simalungun"
"http://id.dbpedia.org/resource/Bahasa_Batak_Mandailing","http://id.dbpedia.org/resource/Kabupaten_Mandailing_Natal"
"http://id.dbpedia.org/resource/Bahasa_Batak_Mandailing","http://id.dbpedia.org/resource/Sumatera_Utara"
"http://id.dbpedia.org/resource/Bahasa_Haji","http://id.dbpedia.org/resource/Kabupaten_Ogan_Komering_Ulu_Selatan"
"http://id.dbpedia.org/resource/Bahasa_Kaur","http://id.dbpedia.org/resource/Kabupaten_Kaur"
"http://id.dbpedia.org/resource/Bahasa_Kaur","http://id.dbpedia.org/resource/Provinsi_Bengkulu"
